name,time,tweet
Khulu_Mosia,Fri Sep 07 16:14:59 +0000 2018,What ever you feel like doing it #JustDoIt✔ https://t.co/SOoFxtB778
SiaRuuuu,Fri Sep 07 16:14:59 +0000 2018,It saved me it can save you too #JUSTDOIT 🌚🐾‼️ https://t.co/NYIuOqktj3
KLIGGETTONI,Fri Sep 07 16:14:50 +0000 2018,@washingtonpost Thank you #Kap #JustDoIt #Nike We are UNITED and will NOT allow DJT to divide US! #BlueWave2018
kikoltdcom,Fri Sep 07 16:14:47 +0000 2018,@Kaepernick7 @Nike and @Kaepernick7 are on the right side of history #LOVE_YOURSELF #BelieveInYourself #JustDoIt #EqualityforAll #CompassionforAll
Camille_Iac,Fri Sep 07 16:14:44 +0000 2018,Friday Mood #JustDoIt https://t.co/D1b8qb3m5y
Night_Rider2017,Fri Sep 07 16:14:37 +0000 2018,"@realDonaldTrump God bless President Trump! 👍👍🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
#justdoIt #JustDontDoIt #Trump2020 #RedWave https://t.co/RtqWsqflI5"
iamwendelljj,Fri Sep 07 16:14:37 +0000 2018,"| Just Do It!✔️ - @nike |
#JustDoIt #Nike #Meme #Jesus #Viral #Marketing #NBC #CNN #ColinKaepernick #Kaepernick #NikeJustDoIT #Football #Believe #Listen #NikeShoes #BelieveInSomething… https://t.co/A8PqKSakxL"
rockohollica,Fri Sep 07 16:14:31 +0000 2018,And they are using the their platform to draw media attention and awareness to the issue. Nike knows who their customers are.  #JustDoIt #Nike https://t.co/2ehv8QuO8p
scott_soulia,Fri Sep 07 16:14:31 +0000 2018,"@JWKeady @Kaepernick7 @KillerMike @tmorello #Nike #JustDoIt #TakeAKnee 
I'll say it again; he makes me glad my service was not simply to an empire. He shows me that at least one American is ethically free &amp; morally courageous enough to protest #injustice, as our forefathers once did. The rest of you seem to have forgotten;"
djthrillbill,Fri Sep 07 16:14:28 +0000 2018,"Believe in ThrillBill. Even if it means sacrificing other plans.
.
.
.
#nike #justdoit #justthrillbill #djthrillbill #704 #charLIT #thecoolestdjintheworld #😎 #thrillbillionaires #qcdjs… https://t.co/ZvoQ85CU08"
Khanger16,Fri Sep 07 16:14:25 +0000 2018,Those three words made all the difference. #JustDoIt https://t.co/CCrqAeINql
johnrow74212488,Fri Sep 07 16:13:54 +0000 2018,"This is a great reminder that things may come to those that wait and they will be things left over by those that hustle. 
Less “into thought” more “into action”.  
#justdoit https://t.co/FMn00Vpmfh"
Kiwon313,Fri Sep 07 16:13:53 +0000 2018,You knew it was coming #justdoit #hehe #michaeljackson #heheintothewind https://t.co/KrnoBniTOo
diplomacy_ww,Fri Sep 07 16:13:50 +0000 2018,@Nike is aligning itself with the core values of our younger generation and celebrating athletes beyond their sport. BELIEVE IN SOMETHING. #thoughtwear #justdoit #diplomacy https://t.co/mP9M64pqvm
WhoisRafael,Fri Sep 07 16:13:38 +0000 2018,"You’ve gotta WORK to make things WORK.

#JustDoIt"
MikatekoTiny,Fri Sep 07 16:13:24 +0000 2018,Looking at the journey ahead...I will need to keep watching this😰 #JustDoIt https://t.co/inTQ4fgIdd
mihairotar,Fri Sep 07 16:13:23 +0000 2018,"""So don't ask if your dreams are crazy, ask if your dreams are crazy enough."" #nike #ad #justdoit #crazyenough #believeinsomething
https://t.co/mQgvO8urfA"
FxEpic,Fri Sep 07 16:13:15 +0000 2018,"@madriannorman .@Nike
@Kaepernick7 is to #Nike like A Fly is to Shit.
#JustDoIt"
capacejr,Fri Sep 07 16:13:10 +0000 2018,"We out here..... Nike Sunday!!!!! #justdoit @ Tanger Outlets, Grand Rapids https://t.co/1C7Ipsyswg"
scotankhamen2,Fri Sep 07 16:12:59 +0000 2018,"Owned Yet, Libs? https://t.co/D7I86zTfL7 #Nike #JustDoIt"
BrawleyRichpack,Fri Sep 07 16:12:59 +0000 2018,"Stand for something. Even if it means sacrifasing everything. 

#JustDoIt https://t.co/xpZz5XSA1z"
MAGAMaggieMay,Fri Sep 07 16:12:59 +0000 2018,Now this is what we’re talkin’ about! #MAGA #QAnon #JustDoIt #JustBlewIt #TheRainMakers @POTUS #FridayFeeIing https://t.co/QXriULydFg
tootiebeam,Fri Sep 07 16:12:53 +0000 2018,@TsMadisonatl1 @PrimeVideo @MsIsisKing @Ariscestocrat @FishTankSeries Run Maddie Run...trackstar 🏃🏾‍♀️ #JustDoIt
SplendidComms,Fri Sep 07 16:12:12 +0000 2018,#SplendidLoves Nike's 30th Anniversary #JustDoIt ad campaign with Colin Kaepernick https://t.co/1prGB5HjUh
SaviBis,Fri Sep 07 16:12:10 +0000 2018,It’s possible to be critical of Nike not paying its workers decent wages AND appreciate Nike’s ad featuring Karpernick. #JustDoIt
